story_id,prediction,rationale
95,1,"Consistent: Novel confirms ""Noirtier de Villefort Chapter 59"""
136,1,"Consistent: Novel confirms ""Faria had dug his way through fifty feet, Dantès would dig a hundred; Faria, at the age of fifty, had devoted three years to the task; he, who was but..."""
59,1,"Consistent: Novel confirms ""The date of his captivity, the place where he must have been, everything, even to the Patagonian p"""
60,1,"Consistent: Novel confirms ""] Early in the afternoon, the first traces of animals were encountered--the bones of an innumerable drove of cattle, in whitened heaps"""
124,1,"Consistent: Novel confirms ""Dantès examined the various articles shown to him with the same attention that he had bestowed on the curiosities and strange tools exhibited in the s..."""
111,1,"Consistent: Novel confirms ""” And he fixed his eyes upon Edmond as if he would have penetrated his thoughts"""
135,1,"Consistent: Novel confirms ""Another, older and less strong than he, had attempted what he had not had sufficient resolution to undertake, and had failed only because of an error ..."""
27,1,"Consistent: Novel confirms ""All the trails of the prairie converged towards the Lucknow road, which, after extending straight southward to the coast, suddenly turned in the direc..."""
110,1,"Consistent: Novel confirms ""Let what may remain of revolutionary sap exhaust itself and die away with the old trunk, and condescend only to regard the young shoot which has start..."""
42,1,"Consistent: Novel confirms """" The major's explanation was accepted as conclusive"""
56,1,"Consistent: Novel confirms ""After the great danger that he had just escaped, Robert incurred another, no less great,--that of being overwhelmed with caresses"""
80,0,"Inconsistent: Death claim contradicted. Novel states: ""seen ascending the Waikato. It was a canoe seventy feet long and five broad.] Since leaving the encampment, the native"""
28,1,"Consistent: Novel confirms ""Before Captain Mangles and the sailors recovered from the surprise into which this unexpected turn of affairs had thrown them, the audacious convict h..."""
101,0,"Inconsistent: Age mismatch. Novel states: ""ught from Elba, and pass your word you will appear should you be required, and go and rejoin your friends. “I am free,"""
91,1,"Consistent: Novel confirms ""He was—nay, probably may still be—a Bonapartist, and is called Noirtier; I, on the contrary, am a staunch royalist, and style myself de Villefort"""
24,1,"Consistent: Novel confirms ""All at once the captain interrupted him, and pointing towards the southern horizon, said,-- ""Mr"""
119,1,"Consistent: Novel confirms ""The first year he offered government a million of francs for his release; the second, two; the third, three; and so on progressively"""
93,1,"Consistent: Novel confirms ""” Villefort made no answer, but raised his head at the expira"""
72,1,"Consistent: Novel confirms ""They were not long in learning, by the aid of a few English words which the natives used, that, being driven back by the British troops, they were ret..."""
16,1,"Consistent: Novel confirms """"So, Monsieur Paganel,"" said Glenarvan, ""you have chosen Calcutta as yo"""
30,1,"Consistent: Novel confirms ""Before Captain Mangles and the sailors recovered from the surprise into which this unexpected turn of affairs had thrown them, the audacious convict h..."""
97,1,"Consistent: Novel confirms ""slightest degree at the tragic remembrance thus called up; “but bear in mind, if you please, that our respective parents underwent persecution and pro..."""
22,1,"Consistent: Novel confirms ""At the Canaries, you see, there are three groups to study, not to speak of the Peak of Teneriffe, which I have always desired to see"""
53,1,"Consistent: Novel confirms ""Black-headed swans sported on the mirror-like surface, and disputed the empire of the waters with numberless ostriches that gamboled over the plains, ..."""
58,1,"Consistent: Novel confirms """"The Portuguese and Spanish resemble each other so much that I made a mistake"""
81,1,"Consistent: Novel confirms ""By consulting his map, he saw that this name was applied to a celebrated lake in the most mountainous part of the island, and that from it the Waikato..."""
47,0,"Inconsistent: Death claim contradicted. Novel states: ""uman lips than when Glenarvan rose, exclaiming: ""He lives! he lives!"" In an instant Robert was stripped of his garment"""
7,1,"Consistent: Novel confirms ""His geographical labors, his reports on modern discoveries, published in the bulletins of the Society, his correspondence with the entire world, had m..."""
121,1,"Consistent: Novel confirms ""” The turnkey obeyed, and the inspector gazed curiously into the chamber of the _mad abbé_, as the prisoner was usually called"""
129,1,"Consistent: Novel confirms ""This same person, with almost incredible patience and perseverance, had contrived to provide himself with tools requisite for so unparalleled an attem..."""
51,0,"Inconsistent: Death claim contradicted. Novel states: ""uman lips than when Glenarvan rose, exclaiming: ""He lives! he lives!"" In an instant Robert was stripped of his garment"""
127,1,"Consistent: Novel confirms ""I was for twenty years Cardinal Spada’s secretary; I was arrested, why, I know not, toward the beginning of the year 1811; since then I have demanded ..."""
133,1,"Consistent: Novel confirms ""” Faria fixed his eyes on him with an expression that would have convinced anyone else of his sanity"""
52,1,"Consistent: Novel confirms ""However, this very resemblance will soon enable me to rectify my error, and in a short time I will thank this worthy Patagonian in the language he spe..."""
114,0,"Inconsistent: Age mismatch. Novel states: ""ot reply to my question,” replied the inspector impatiently. “Nor you to mine,” cried the abbé. “You will not accept my"""
2,1,"Consistent: Novel confirms ""Petersburg, Vienna, and New York; honorary member of the Royal Geographical and Ethnographical Institute of the East Indies, who, after passing twenty..."""
33,1,"Consistent: Novel confirms ""Before Captain Mangles and the sailors recovered from the surprise into which this unexpected turn of affairs had thrown them, the audacious convict h..."""
15,1,"Consistent: Novel confirms """" ""You arrived on board this vessel the day before yesterday"""
82,1,"Consistent: Novel confirms ""They both ruled the powerful tribes of the Waikato with equal rank; and, during this interview, although Kai-"""
37,0,"Inconsistent: Death claim contradicted. Novel states: ""se of the guard found half a mile above, prove that it was the result of a crime; and, in accordance with the verdict at"""
3,0,"Inconsistent: Death claim contradicted. Novel states: ""The Chief's Funeral LI. Strangely Liberated LII. The Sacred Mountain LIII. A Bol"""
103,1,"Consistent: Novel confirms ""Napoleon would, doubtless, have deprived Villefort of his office had it not been for Noirtier, who was all powerful at court, and thus the Girondin of..."""
94,1,"Consistent: Novel confirms ""Noirtier—for it was, indeed, he who entered—looked after the servant until the door was closed, and then, fearing, no doubt, that he might be overhear..."""
85,1,"Consistent: Novel confirms ""Paganel, addressing Captain Mangles in French, so as not to be understood by the savages, asked hi"""
21,1,"Consistent: Novel confirms ""Petersburg, Vienna, and New York; honorary member of the Royal Geographical and Ethnographical Institute of the East Indies, who, after passing twenty..."""
49,1,"Consistent: Novel confirms ""Here in huts of branches lived thirty wandering natives, grazing large herds of milch cows, sheep, cattle and horses"""
140,1,"Consistent: Novel confirms ""I was for twenty years Cardinal Spada’s secretary; I was arrested, why, I know not, toward the beginning of the year 1811; since then I have demanded ..."""
64,1,"Consistent: Novel confirms ""It is a very dry wind from the southwest"""
131,1,"Consistent: Novel confirms ""I was for twenty years Cardinal Spada’s secretary; I was arrested, why, I know not, toward the beginning of the year 1811; since then I have demanded ..."""
61,1,"Consistent: Novel confirms ""He did not have to wait long for answers, but learnt that the European was a slave of one of the Indian tribes that scour the plains"""
86,1,"Consistent: Novel confirms ""Kai-Koumou, leaving the waters of the Waikato, passed through the little creek which served as an outlet to the river, doubled a sharp promontory, and..."""
38,1,"Consistent: Novel confirms """" The major's explanation was accepted as conclusive"""
132,1,"Consistent: Novel confirms ""These rolls consisted of slips of cloth about four inches wide and eighteen long; they were all carefully numbered and closely covered with writing, s..."""
77,1,"Consistent: Novel confirms ""They were not long in learning, by the aid of a few English words which the natives used, that, being driven back by the British troops, they were ret..."""
70,1,"Consistent: Novel confirms ""Here twenty natives, who had disembarked from their canoes, were making preparations for the night"""
115,1,"Plausible: Novel describes ""ing than this one’s display of reason.” “What is his folly?” “He fancies he possesses an immense treasure. The first year he offered government a mill..."""
78,1,"Consistent: Novel confirms ""The prisoners were stationed in the centre of the encampment, and guarded with extreme vigilance"""
87,1,"Consistent: Novel confirms ""The Morrel Family Chapter 51"""
75,1,"Consistent: Novel confirms ""No pity could be expected from him"""
44,1,"Consistent: Novel confirms ""Ben Joyce and his band must have fled to a considerable distance; for flocks of birds that sported on the low branches of the trees, several kangaroos..."""
